account_id,cust_id,product_type,segment,country,obs_month,default_month,months_to_default,credit_limit,outstanding_balance,payment_amount,min_payment_due,annual_interest_rate,dpd_days,ead_observed,utilization_ratio
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-09-30,2023-10-31,1,248730.52994,200374.42785,7473.9554844,1602.9954228,0.1312251762,33,200374.42785,0.8055883928
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-08-31,2023-10-31,2,248730.52994,162039.55676,0,1296.3164541,0.1312251762,12,200374.42785,0.6514662949
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-07-31,2023-10-31,3,248730.52994,147517.50098,5103.2683206,1180.1400078,0.1312251762,14,200374.42785,0.5930816013
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-06-30,2023-10-31,4,248730.52994,134386.04618,5295.5564379,1075.0883695,0.1312251762,22,200374.42785,0.540287701
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-05-31,2023-10-31,5,248730.52994,153057.93549,1556.0588167,1224.4634839,0.1312251762,13,200374.42785,0.6153564483
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-04-30,2023-10-31,6,248730.52994,131755.13871,7466.3549672,1054.0411097,0.1312251762,10,200374.42785,0.5297103606
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-03-31,2023-10-31,7,248730.52994,134461.42291,2635.9067558,1075.6913833,0.1312251762,11,200374.42785,0.5405907467
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-02-28,2023-10-31,8,248730.52994,139510.53149,481.29412588,1116.0842519,0.1312251762,19,200374.42785,0.5608902595
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-01-31,2023-10-31,9,248730.52994,137944.87292,6787.1541783,1103.5589833,0.1312251762,21,200374.42785,0.554595662
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-07-31,2024-08-31,1,113627.97452,115675.69405,3511.1744263,925.40555242,0.125948881,25,129156.60373,1.0180212623
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-06-30,2024-08-31,2,113627.97452,120107.06667,3138.2594626,960.85653337,0.125948881,10,129156.60373,1.0570202204
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-05-31,2024-08-31,3,113627.97452,119016.40142,2110.8377885,952.13121134,0.125948881,8,129156.60373,1.0474216576
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-04-30,2024-08-31,4,113627.97452,118883.99198,3203.7212408,951.0719358,0.125948881,8,129156.60373,1.0462563685
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-03-31,2024-08-31,5,113627.97452,118345.57037,7481.0108057,946.76456292,0.125948881,5,129156.60373,1.0415179085
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-02-29,2024-08-31,6,113627.97452,105869.76599,3865.6306709,846.95812788,0.125948881,11,129156.60373,0.9317227244
