account_id,obs_month,util_current,util_lag1,util_change_1m,util_lag2,util_accel_1m,util_spike_flag,payment_amount,min_payment_due,missed_pmt_flag,risky_draw_pmt_flag
1000001,2023-01-31,0.554595662,,,,,0,,,0,0
1000001,2023-02-28,0.5608902595,0.554595662,0.0062945975,,,0,,,0,0
1000001,2023-03-31,0.5405907467,0.5608902595,-0.020299513,0.554595662,-0.02659411,0,,,0,0
1000001,2023-04-30,0.5297103606,0.5405907467,-0.010880386,0.5608902595,0.0094191267,0,,,0,0
1000001,2023-05-31,0.6153564483,0.5297103606,0.0856460877,0.5405907467,0.0965264738,0,,,0,0
1000001,2023-06-30,0.540287701,0.6153564483,-0.075068747,0.5297103606,-0.160714835,0,,,0,0
1000001,2023-07-31,0.5930816013,0.540287701,0.0527939003,0.6153564483,0.1278626476,0,,,0,0
1000001,2023-08-31,0.6514662949,0.5930816013,0.0583846936,0.540287701,0.0055907934,0,,,0,0
1000001,2023-09-30,0.8055883928,0.6514662949,0.1541220979,0.5930816013,0.0957374043,1,,,0,0
1000002,2023-08-31,0.9486765237,,,,,0,,,0,0
1000002,2023-09-30,0.956957941,0.9486765237,0.0082814174,,,0,,,0,0
1000002,2023-10-31,0.9924671718,0.956957941,0.0355092308,0.9486765237,0.0272278135,0,,,0,0
1000002,2023-11-30,0.9756156792,0.9924671718,-0.016851493,0.956957941,-0.052360723,0,,,0,0
1000002,2023-12-31,0.9947759057,0.9756156792,0.0191602265,0.9924671718,0.0360117191,0,,,0,0
1000002,2024-01-31,1.0690223929,0.9947759057,0.0742464872,0.9756156792,0.0550862607,0,,,0,0
1000002,2024-02-29,0.9317227244,1.0690223929,-0.137299669,0.9947759057,-0.211546156,0,,,0,0
1000002,2024-03-31,1.0415179085,0.9317227244,0.1097951841,1.0690223929,0.2470948526,1,,,0,0
1000002,2024-04-30,1.0462563685,1.0415179085,0.00473846,0.9317227244,-0.105056724,0,,,0,0
1000002,2024-05-31,1.0474216576,1.0462563685,0.0011652891,1.0415179085,-0.003573171,0,,,0,0
1000002,2024-06-30,1.0570202204,1.0474216576,0.0095985628,1.0462563685,0.0084332737,0,,,0,0
1000002,2024-07-31,1.0180212623,1.0570202204,-0.038998958,1.0474216576,-0.048597521,0,,,0,0
1000003,2022-02-28,0.1290660429,,,,,0,,,0,0
1000003,2022-03-31,0.1135301674,0.1290660429,-0.015535876,,,0,,,0,0
1000003,2022-04-30,0.1190023998,0.1135301674,0.0054722324,0.1290660429,0.0210081079,0,,,0,0
1000003,2022-05-31,0.1287953335,0.1190023998,0.0097929338,0.1135301674,0.0043207014,0,,,0,0
1000003,2022-06-30,0.161062131,0.1287953335,0.0322667975,0.1190023998,0.0224738637,0,,,0,0
1000003,2022-07-31,0.1617620274,0.161062131,0.0006998964,0.1287953335,-0.031566901,0,,,0,0
1000003,2022-08-31,0.234155464,0.1617620274,0.0723934366,0.161062131,0.0716935403,0,,,0,0
1000003,2022-09-30,0.2076733165,0.234155464,-0.026482148,0.1617620274,-0.098875584,0,,,0,0
1000003,2022-10-31,0.272078785,0.2076733165,0.0644054685,0.234155464,0.0908876161,0,,,0,0
1000003,2022-11-30,0.2494533243,0.272078785,-0.022625461,0.2076733165,-0.087030929,0,,,0,0
1000003,2022-12-31,0.3161232403,0.2494533243,0.0666699161,0.272078785,0.0892953768,0,,,0,0
1000004,2023-03-31,0.4703583032,,,,,0,,,0,0
1000004,2023-04-30,0.4552905872,0.4703583032,-0.015067716,,,0,,,0,0
1000004,2023-05-31,0.4526081013,0.4552905872,-0.002682486,0.4703583032,0.0123852301,0,,,0,0
1000004,2023-06-30,0.5003323351,0.4526081013,0.0477242339,0.4552905872,0.0504067198,0,,,0,0
1000004,2023-07-31,0.4802974786,0.5003323351,-0.020034857,0.4526081013,-0.06775909,0,,,0,0
1000004,2023-08-31,0.5532734465,0.4802974786,0.072975968,0.5003323351,0.0930108246,0,,,0,0
1000004,2023-09-30,0.5307512754,0.5532734465,-0.022522171,0.4802974786,-0.095498139,0,,,0,0
1000004,2023-10-31,0.600600939,0.5307512754,0.0698496636,0.5532734465,0.0923718348,0,,,0,0
1000004,2023-11-30,0.6817046477,0.600600939,0.0811037087,0.5307512754,0.011254045,0,,,0,0
1000004,2023-12-31,0.7080664739,0.6817046477,0.0263618262,0.600600939,-0.054741882,0,,,0,0
1000005,2022-06-30,0.4258674544,,,,,0,,,0,0
1000005,2022-07-31,0.4428935534,0.4258674544,0.017026099,,,0,,,0,0
1000005,2022-08-31,0.4633704418,0.4428935534,0.0204768884,0.4258674544,0.0034507895,0,,,0,0
1000005,2022-09-30,0.4024789297,0.4633704418,-0.060891512,0.4428935534,-0.081368401,0,,,0,0
1000005,2022-10-31,0.5197015289,0.4024789297,0.1172225992,0.4633704418,0.1781141113,1,,,0,0
1000005,2022-11-30,0.4989870329,0.5197015289,-0.020714496,0.4024789297,-0.137937095,0,,,0,0
1000005,2022-12-31,0.6596854693,0.4989870329,0.1606984363,0.5197015289,0.1814129323,1,,,0,0
1000006,2022-10-31,0.1761680156,,,,,0,,,0,0
1000006,2022-11-30,0.1210565702,0.1761680156,-0.055111445,,,0,,,0,0
1000006,2022-12-31,0.090672163,0.1210565702,-0.030384407,0.1761680156,0.0247270382,0,,,0,0
1000006,2023-01-31,0.1962329017,0.090672163,0.1055607387,0.1210565702,0.1359451459,1,,,0,0
1000006,2023-02-28,0.2076692898,0.1962329017,0.0114363881,0.090672163,-0.094124351,0,,,0,0
1000006,2023-03-31,0.2614704803,0.2076692898,0.0538011905,0.1962329017,0.0423648024,0,,,0,0
1000006,2023-04-30,0.4072466092,0.2614704803,0.1457761289,0.2076692898,0.0919749384,1,,,0,0
1000007,2023-10-30,0.4406962708,,,,,0,,,0,0
1000007,2023-11-30,0.4377905284,0.4406962708,-0.002905742,,,0,,,0,0
1000007,2023-12-30,0.4241725417,0.4377905284,-0.013617987,0.4406962708,-0.010712244,0,,,0,0
1000007,2024-01-30,0.4182245545,0.4241725417,-0.005947987,0.4377905284,0.0076699994,0,,,0,0
1000007,2024-02-29,0.4873599231,0.4182245545,0.0691353686,0.4241725417,0.0750833559,0,,,0,0
1000007,2024-03-30,0.577126785,0.4873599231,0.0897668619,0.4182245545,0.0206314932,0,,,0,0
1000008,2023-04-30,0.4461551759,,,,,0,,,0,0
1000008,2023-05-31,0.4444627541,0.4461551759,-0.001692422,,,0,,,0,0
1000008,2023-06-30,0.4262955672,0.4444627541,-0.018167187,0.4461551759,-0.016474765,0,,,0,0
1000008,2023-07-31,0.4693292715,0.4262955672,0.0430337043,0.4444627541,0.0612008912,0,,,0,0
1000008,2023-08-31,0.4556992718,0.4693292715,-0.01363,0.4262955672,-0.056663704,0,,,0,0
1000008,2023-09-30,0.4832647986,0.4556992718,0.0275655268,0.4693292715,0.0411955266,0,,,0,0
1000008,2023-10-31,0.4448098086,0.4832647986,-0.03845499,0.4556992718,-0.066020517,0,,,0,0
1000008,2023-11-30,0.4341690214,0.4448098086,-0.010640787,0.4832647986,0.0278142028,0,,,0,0
1000008,2023-12-31,0.4913150909,0.4341690214,0.0571460694,0.4448098086,0.0677868566,0,,,0,0
1000008,2024-01-31,0.5903677054,0.4913150909,0.0990526145,0.4341690214,0.0419065451,0,,,0,0
1000008,2024-02-29,0.6434034122,0.5903677054,0.0530357068,0.4913150909,-0.046016908,0,,,0,0
1000009,2024-06-30,0.5044030284,,,,,0,,,0,0
1000009,2024-07-30,0.5309420978,0.5044030284,0.0265390694,,,0,,,0,0
1000009,2024-08-30,0.521146298,0.5309420978,-0.0097958,0.5044030284,-0.036334869,0,,,0,0
1000009,2024-09-30,0.5504301094,0.521146298,0.0292838114,0.5309420978,0.0390796112,0,,,0,0
1000009,2024-10-30,0.5410417492,0.5504301094,-0.00938836,0.521146298,-0.038672172,0,,,0,0
1000009,2024-11-30,0.556594287,0.5410417492,0.0155525378,0.5504301094,0.0249408979,0,,,0,0
1000009,2024-12-30,0.5521288196,0.556594287,-0.004465467,0.5410417492,-0.020018005,0,,,0,0
1000009,2025-01-30,0.5744433518,0.5521288196,0.0223145322,0.556594287,0.0267799996,0,,,0,0
1000009,2025-02-28,0.6655821057,0.5744433518,0.0911387539,0.5521288196,0.0688242217,0,,,0,0
1000009,2025-03-30,0.7845362654,0.6655821057,0.1189541597,0.5744433518,0.0278154058,1,,,0,0
1000010,2024-08-31,0.3969424982,,,,,0,,,0,0
1000010,2024-09-30,0.300484771,0.3969424982,-0.096457727,,,0,,,0,0
1000010,2024-10-31,0.3371982414,0.300484771,0.0367134704,0.3969424982,0.1331711975,0,,,0,0
1000010,2024-11-30,0.4140392674,0.3371982414,0.076841026,0.300484771,0.0401275556,0,,,0,0
1000010,2024-12-31,0.3716404619,0.4140392674,-0.042398806,0.3371982414,-0.119239832,0,,,0,0
1000010,2025-01-31,0.3910390994,0.3716404619,0.0193986375,0.4140392674,0.061797443,0,,,0,0
1000010,2025-02-28,0.3966910189,0.3910390994,0.0056519196,0.3716404619,-0.013746718,0,,,0,0
1000010,2025-03-31,0.4095541068,0.3966910189,0.0128630879,0.3910390994,0.0072111683,0,,,0,0
1000010,2025-04-30,0.4559953995,0.4095541068,0.0464412927,0.3966910189,0.0335782048,0,,,0,0
1000010,2025-05-31,0.4684233349,0.4559953995,0.0124279354,0.4095541068,-0.034013357,0,,,0,0
1000010,2025-06-30,0.6073961901,0.4684233349,0.1389728552,0.4559953995,0.1265449198,1,,,0,0
1000011,2024-05-30,0.1874058914,,,,,0,,,0,0
1000011,2024-06-30,0.2608850488,0.1874058914,0.0734791574,,,0,,,0,0
1000011,2024-07-30,0.2850406333,0.2608850488,0.0241555845,0.1874058914,-0.049323573,0,,,0,0
1000011,2024-08-30,0.2364165753,0.2850406333,-0.048624058,0.2608850488,-0.072779643,0,,,0,0
1000011,2024-09-30,0.3174110257,0.2364165753,0.0809944504,0.2850406333,0.1296185084,0,,,0,0
1000011,2024-10-30,0.4255824205,0.3174110257,0.1081713949,0.2364165753,0.0271769445,1,,,0,0
1000012,2023-05-31,0.9462812952,,,,,0,,,0,0
1000012,2023-06-30,0.8862348649,0.9462812952,-0.06004643,,,0,,,0,0
1000012,2023-07-31,0.9805959719,0.8862348649,0.094361107,0.9462812952,0.1544075373,0,,,0,0
1000012,2023-08-31,0.9330890638,0.9805959719,-0.047506908,0.8862348649,-0.141868015,0,,,0,0
1000012,2023-09-30,0.9117294859,0.9330890638,-0.021359578,0.9805959719,0.0261473302,0,,,0,0
1000012,2023-10-31,0.9321451892,0.9117294859,0.0204157033,0.9330890638,0.0417752812,0,,,0,0
1000012,2023-11-30,0.91072125,0.9321451892,-0.021423939,0.9117294859,-0.041839643,0,,,0,0
1000012,2023-12-31,0.9847075467,0.91072125,0.0739862967,0.9321451892,0.0954102359,0,,,0,0
1000012,2024-01-31,0.9951554669,0.9847075467,0.0104479202,0.91072125,-0.063538376,0,,,0,0
1000012,2024-02-29,1.0554014007,0.9951554669,0.0602459339,0.9847075467,0.0497980136,0,,,0,0
1000012,2024-03-31,1.0178212701,1.0554014007,-0.037580131,0.9951554669,-0.097826064,0,,,0,0
1000012,2024-04-30,1.0751030611,1.0178212701,0.057281791,1.0554014007,0.0948619217,0,,,0,0
1000013,2024-11-30,0.7098023382,,,,,0,,,0,0
1000013,2024-12-31,0.6982611189,0.7098023382,-0.011541219,,,0,,,0,0
1000013,2025-01-31,0.7304498745,0.6982611189,0.0321887557,0.7098023382,0.043729975,0,,,0,0
1000013,2025-02-28,0.6914682807,0.7304498745,-0.038981594,0.6982611189,-0.07117035,0,,,0,0
1000013,2025-03-31,0.744851937,0.6914682807,0.0533836563,0.7304498745,0.0923652501,0,,,0,0
1000013,2025-04-30,0.7735253247,0.744851937,0.0286733877,0.6914682807,-0.024710269,0,,,0,0
1000013,2025-05-31,0.7878949626,0.7735253247,0.0143696378,0.744851937,-0.01430375,0,,,0,0
1000013,2025-06-30,0.7544216652,0.7878949626,-0.033473297,0.7735253247,-0.047842935,0,,,0,0
1000013,2025-07-31,0.8148576844,0.7544216652,0.0604360192,0.7878949626,0.0939093165,0,,,0,0
1000013,2025-08-31,0.8768135674,0.8148576844,0.061955883,0.7544216652,0.0015198638,0,,,0,0
1000013,2025-09-30,0.9001281955,0.8768135674,0.0233146281,0.8148576844,-0.038641255,0,,,0,0
1000014,2023-05-31,0.1137264599,,,,,0,,,0,0
1000014,2023-06-30,0.203205653,0.1137264599,0.0894791931,,,0,,,0,0
1000014,2023-07-31,0.297239695,0.203205653,0.094034042,0.1137264599,0.0045548489,0,,,0,0
1000014,2023-08-31,0.1909208251,0.297239695,-0.10631887,0.203205653,-0.200352912,0,,,0,0
1000014,2023-09-30,0.2132734665,0.1909208251,0.0223526414,0.297239695,0.1286715113,0,,,0,0
1000014,2023-10-31,0.263794054,0.2132734665,0.0505205874,0.1909208251,0.028167946,0,,,0,0
1000014,2023-11-30,0.3061253088,0.263794054,0.0423312548,0.2132734665,-0.008189333,0,,,0,0
1000014,2023-12-31,0.3883864062,0.3061253088,0.0822610974,0.263794054,0.0399298426,0,,,0,0
1000015,2023-06-29,0.3101395536,,,,,0,,,0,0
1000015,2023-07-29,0.3573934646,0.3101395536,0.047253911,,,0,,,0,0
